이름,고유번호,관심사,나이,성별,혜택,교통비,교통횟수,교통총비용,편의점비,편의점횟수,편의점총비용,배달비,배달횟수,배달총비용,카페비,카페횟수,카페총비용,ott비,ott횟수,ott총비용,영화비,영화횟수,영화총비용,쇼핑비,쇼핑횟수,쇼핑총비용,도서비,도서횟수,도서총비용,뷰티비,뷰티횟수,뷰티총비용,야구비,야구횟수,야구총비용,놀이공원/공연비,놀이공원/공연횟수,놀이공원/공연총비용,통신비,통신횟수,통신총비용,card
이윤서,a02004,영화관람,12,여,야구,500,40,20000,19100,15,286500,20000,4,80000,15400,12,184800,3200,5,16000,18400,3,55200,26700,2,53400,28700,3,86100,28800,2,57600,19600,1,19600,49300,0,0,39100,1,39100,0
권옥자,a02005,스포츠,8,여,도서,500,54,27000,45300,18,815400,17900,8,143200,5200,16,83200,3900,5,19500,17300,1,17300,43800,5,219000,26900,2,53800,40000,2,80000,13800,1,13800,31600,2,63200,26300,1,26300,3
이은경,a02006,영화관람,15,여,야구,300,11,3300,22600,26,587600,22100,10,221000,14300,11,157300,3100,5,15500,17500,3,52500,33300,0,0,26000,0,0,20500,2,41000,20500,0,0,48900,0,0,14900,1,14900,5
이광수,a02007,도서,17,남,카페,400,25,10000,43500,24,1044000,26600,10,266000,17300,14,242200,3100,6,18600,13600,0,0,16600,3,49800,22800,3,68400,37200,2,74400,14900,2,29800,37200,0,0,73800,1,73800,6
김정자,a02008,패션,13,남,대중교통,500,69,34500,49900,25,1247500,15200,6,91200,11700,3,35100,4800,4,19200,17600,3,52800,29400,2,58800,28700,4,114800,30000,2,60000,10500,1,10500,28700,0,0,43800,1,43800,1
김영길,a02009,스포츠,9,여,넷플릭스,300,42,12600,23800,11,261800,16300,10,163000,11100,13,144300,2700,0,0,23500,0,0,32500,1,32500,27200,2,54400,27400,5,137000,17000,1,17000,47900,2,95800,39300,1,39300,5
김민준,a02010,패션,14,여,영화관람,600,12,7200,34400,7,240800,21400,5,107000,11600,2,23200,3100,1,3100,17800,0,0,44200,4,176800,27700,5,138500,44700,2,89400,24400,1,24400,45900,2,91800,69400,1,69400,4
김주원,a02011,도서,18,여,야구,300,6,1800,3300,29,95700,16600,2,33200,11400,7,79800,2600,3,7800,21000,3,63000,43100,3,129300,26500,0,0,42800,4,171200,15900,2,31800,40500,0,0,69500,1,69500,7
오지후,a02012,카페,19,여,뷰티,500,20,10000,32000,12,384000,20900,8,167200,6400,17,108800,3500,1,3500,20400,0,0,23000,0,0,26000,5,130000,43700,4,174800,16400,0,0,24200,2,48400,74700,1,74700,7
문수민,a02013,도서,8,여,카페,300,47,14100,43600,21,915600,12900,9,116100,8500,3,25500,3300,1,3300,22700,0,0,23500,4,94000,25700,4,102800,35700,5,178500,11000,1,11000,40200,2,80400,40500,1,40500,3
김경희,a02014,스포츠,16,남,편의점,500,25,12500,21700,5,108500,25800,2,51600,18800,16,300800,4900,3,14700,14300,1,14300,42700,0,0,28900,4,115600,10300,2,20600,12700,2,25400,35300,2,70600,13000,1,13000,4
박현주,a02015,카페,19,남,넷플릭스,600,32,19200,32300,19,613700,20400,9,183600,15100,20,302000,3600,0,0,15300,1,15300,41600,3,124800,28000,3,84000,39200,1,39200,9900,1,9900,41200,2,82400,54600,1,54600,2
김예원,a02016,쇼핑,18,여,야구,300,46,13800,11200,14,156800,27000,8,216000,17200,19,326800,4500,0,0,13100,2,26200,26600,4,106400,24500,4,98000,44200,0,0,20500,2,41000,35300,0,0,13000,1,13000,5
권수빈,a02017,쇼핑,13,여,영화관람,400,35,14000,43300,14,606200,26800,5,134000,6800,8,54400,2900,0,0,18500,1,18500,16300,0,0,29900,1,29900,11000,0,0,17800,2,35600,34700,2,69400,32300,1,32300,2
박옥순,a02018,여행,11,여,통신비,600,44,26400,8500,9,76500,22500,5,112500,14200,6,85200,3200,3,9600,18700,3,56100,42900,5,214500,26900,1,26900,16500,0,0,15800,1,15800,31200,2,62400,40900,1,40900,4
김정식,a02019,영화관람,8,여,뷰티,300,63,18900,10600,22,233200,13800,4,55200,11900,14,166600,3300,1,3300,24200,3,72600,16500,1,16500,27600,1,27600,23200,5,116000,17200,2,34400,32200,0,0,24400,1,24400,5
이지우,a02020,쇼핑,18,남,카페,300,35,10500,44000,28,1232000,10700,4,42800,19400,4,77600,2900,1,2900,13600,1,13600,33900,3,101700,21400,2,42800,31500,0,0,8700,1,8700,45700,0,0,38900,1,38900,3
안서준,a02021,게임,16,남,영화관람,300,7,2100,10200,26,265200,19600,8,156800,16900,10,169000,2600,5,13000,13500,0,0,12900,3,38700,22700,0,0,46900,3,140700,17300,0,0,38400,0,0,36700,1,36700,5
김성민,a02022,쇼핑,12,여,카페,500,19,9500,45000,6,270000,17800,3,53400,14800,16,236800,4800,3,14400,16500,1,16500,40100,3,120300,19000,1,19000,23800,3,71400,9200,0,0,32800,0,0,69500,1,69500,0
김종수,a02023,도서,16,여,뷰티,300,37,11100,30800,17,523600,27500,8,220000,10000,15,150000,4600,0,0,15400,1,15400,35800,4,143200,22400,0,0,24700,0,0,14600,0,0,31100,1,31100,52300,1,52300,0
박현준,a02024,도서,12,여,넷플릭스,600,12,7200,29600,16,473600,21100,7,147700,10300,7,72100,3900,0,0,23200,3,69600,49100,3,147300,20800,1,20800,25400,4,101600,24800,1,24800,47000,0,0,46400,1,46400,1
백순자,a02025,패션,9,남,대중교통,500,34,17000,25900,6,155400,21000,6,126000,18500,15,277500,2800,1,2800,20600,1,20600,23300,5,116500,22200,4,88800,38700,3,116100,12600,0,0,22600,0,0,69900,1,69900,1
박주원,a02026,영화관람,12,여,영화관람,400,67,26800,19400,7,135800,23200,6,139200,10300,12,123600,4500,0,0,21100,3,63300,33700,2,67400,20300,1,20300,14400,2,28800,22200,1,22200,43900,2,87800,45100,1,45100,2
황민수,a02027,카페,10,여,영화관람,400,70,28000,43400,29,1258600,15800,9,142200,19800,13,257400,3800,4,15200,21200,3,63600,29900,3,89700,24100,4,96400,25500,1,25500,16500,2,33000,41600,2,83200,46000,1,46000,2
장진우,a02028,카페,17,남,야구,500,70,35000,19700,25,492500,29000,8,232000,13600,7,95200,4300,5,21500,22700,2,45400,34900,3,104700,22800,5,114000,24600,2,49200,23900,1,23900,29900,0,0,71600,1,71600,0
김은지,a02029,게임,13,여,놀이동산,400,17,6800,10500,12,126000,19900,7,139300,5600,15,84000,2600,1,2600,17700,2,35400,49100,4,196400,27400,0,0,36300,4,145200,22500,1,22500,33100,2,66200,37500,1,37500,0
박은지,a02030,여행,13,여,쇼핑,300,59,17700,6800,26,176800,23100,5,115500,13000,5,65000,3700,2,7400,20500,2,41000,25500,2,51000,26200,5,131000,41900,5,209500,22800,1,22800,41900,1,41900,28300,1,28300,7
이재현,a02031,영화관람,8,여,통신비,500,9,4500,46100,16,737600,26000,8,208000,11400,20,228000,4900,1,4900,14800,3,44400,46100,3,138300,20200,5,101000,20400,0,0,16700,1,16700,25100,2,50200,38500,1,38500,7
이성호,a02032,쇼핑,13,남,쇼핑,600,39,23400,16700,27,450900,24600,3,73800,11600,3,34800,3100,4,12400,15900,0,0,39200,4,156800,23600,2,47200,23900,2,47800,24100,0,0,24100,1,24100,69900,1,69900,0
김도현,a02033,영화관람,15,남,통신비,700,27,18900,49800,25,1245000,11800,6,70800,6200,6,37200,2800,5,14000,23000,3,69000,33400,5,167000,19400,2,38800,11100,2,22200,11200,2,22400,38400,2,76800,51100,1,51100,1
윤영자,a02034,영화관람,18,남,대중교통,500,70,35000,34900,19,663100,21800,5,109000,17900,9,161100,3700,0,0,24100,2,48200,44400,0,0,22500,2,45000,22100,2,44200,20600,1,20600,47900,0,0,71600,1,71600,2
김광수,a02035,스포츠,10,남,카페,500,27,13500,40100,11,441100,11000,2,22000,19100,10,191000,4800,5,24000,24400,0,0,37400,3,112200,24000,0,0,41900,5,209500,18800,1,18800,46400,1,46400,49400,1,49400,3
서영숙,a02036,패션,8,여,대중교통,400,70,28000,10200,17,173400,29700,2,59400,8800,16,140800,4000,2,8000,24300,1,24300,11800,4,47200,29400,1,29400,22700,5,113500,21100,1,21100,33800,2,67600,72600,1,72600,4
김현우,a02037,패션,13,여,대중교통,300,53,15900,32300,24,775200,29900,2,59800,18700,12,224400,3700,4,14800,24100,0,0,25500,2,51000,18500,3,55500,37400,0,0,24300,0,0,40200,1,40200,43500,1,43500,5
이명자,a02038,쇼핑,12,남,영화관람,600,57,34200,14300,17,243100,24700,9,222300,15600,10,156000,4300,0,0,17300,0,0,48700,3,146100,24900,0,0,37500,4,150000,23400,0,0,36500,0,0,73400,1,73400,7
이은서,a02039,영화관람,8,남,대중교통,400,35,14000,2400,6,14400,19800,10,198000,13700,18,246600,4800,1,4800,20200,1,20200,33100,3,99300,20800,1,20800,26100,0,0,22300,1,22300,20900,1,20900,17000,1,17000,0
이순옥,a02040,패션,8,여,대중교통,300,18,5400,44500,29,1290500,18800,8,150400,14900,6,89400,4000,5,20000,15600,0,0,43600,3,130800,28800,5,144000,16200,5,81000,13600,2,27200,30300,1,30300,14600,1,14600,5
서지아,a02041,여행,10,여,영화관람,300,50,15000,28000,7,196000,14600,8,116800,13600,2,27200,4800,3,14400,20700,2,41400,22200,0,0,25600,4,102400,38600,2,77200,20400,2,40800,26500,2,53000,47400,1,47400,3
백민재,a02042,스포츠,19,여,뷰티,400,63,25200,19800,26,514800,22200,9,199800,18100,15,271500,4000,2,8000,16100,0,0,21000,4,84000,28500,3,85500,36800,1,36800,10800,0,0,49800,1,49800,41900,1,41900,3
장정식,a02043,스포츠,11,여,카페,400,34,13600,4500,20,90000,25000,4,100000,11600,10,116000,3700,3,11100,20300,3,60900,10800,5,54000,27500,4,110000,41900,0,0,17900,2,35800,29700,0,0,52300,1,52300,2
김윤서,a02044,도서,12,남,통신비,300,51,15300,20900,7,146300,26100,9,234900,6400,17,108800,3900,4,15600,18100,0,0,22400,3,67200,21600,0,0,44300,0,0,16200,1,16200,46300,1,46300,46000,1,46000,3
안성민,a02045,스포츠,11,남,대중교통,600,33,19800,30500,23,701500,22500,7,157500,17400,15,261000,3600,3,10800,17600,0,0,33100,0,0,22600,3,67800,48100,1,48100,22700,1,22700,26400,0,0,63100,1,63100,1
고민재,a02046,패션,11,남,편의점,600,17,10200,41100,14,575400,25900,10,259000,7700,7,53900,3000,6,18000,16000,1,16000,10600,0,0,29100,2,58200,32800,1,32800,22200,2,44400,23500,2,47000,12900,1,12900,2
박경희,a02047,도서,18,남,놀이동산,400,47,18800,7500,8,60000,18700,3,56100,6600,19,125400,4900,0,0,14800,3,44400,30000,5,150000,20300,5,101500,23000,0,0,22800,2,45600,32800,0,0,64700,1,64700,2
김영수,a02048,패션,11,남,넷플릭스,400,58,23200,32600,21,684600,21200,4,84800,11100,17,188700,2900,4,11600,23900,0,0,16100,4,64400,28100,3,84300,34100,5,170500,19600,0,0,24600,1,24600,42100,1,42100,7
안미정,a02049,쇼핑,14,남,넷플릭스,700,41,28700,20000,6,120000,21500,7,150500,10700,12,128400,3400,6,20400,15500,0,0,23900,4,95600,18000,2,36000,16900,1,16900,11100,2,22200,20100,0,0,25500,1,25500,7
이정순,a02050,게임,17,남,야구,500,30,15000,46800,22,1029600,21000,8,168000,14200,17,241400,4000,1,4000,18900,3,56700,26800,5,134000,20400,0,0,48600,3,145800,16100,2,32200,46700,2,93400,47800,1,47800,7
최준서,a02051,영화관람,9,여,카페,500,12,6000,17600,20,352000,21500,3,64500,4600,3,13800,4400,0,0,15700,2,31400,28400,3,85200,24200,1,24200,12800,5,64000,8900,2,17800,29700,0,0,71900,1,71900,2
윤광수,a02052,여행,8,남,편의점,400,19,7600,24100,24,578400,19400,3,58200,8700,16,139200,2500,4,10000,23500,0,0,21900,5,109500,24900,1,24900,13800,1,13800,9000,1,9000,33800,2,67600,46100,1,46100,5
김민지,a02053,카페,14,여,도서,300,40,12000,39200,26,1019200,27200,8,217600,7400,14,103600,3100,6,18600,21300,0,0,12900,0,0,23700,3,71100,44400,1,44400,13400,2,26800,34000,2,68000,36000,1,36000,1
문동현,a02054,패션,14,남,편의점,600,12,7200,12200,23,280600,13400,5,67000,16000,18,288000,4500,3,13500,13800,1,13800,32100,0,0,25900,5,129500,15600,3,46800,9500,1,9500,36100,2,72200,43800,1,43800,0
이영희,a02055,도서,11,여,배달,500,68,34000,10700,13,139100,12800,9,115200,7100,8,56800,3300,2,6600,20300,1,20300,20400,1,20400,22700,2,45400,13200,0,0,16000,2,32000,30600,1,30600,72900,1,72900,7
김순자,a02056,패션,10,남,쇼핑,500,20,10000,48200,20,964000,20700,2,41400,12500,15,187500,2700,0,0,19800,0,0,23400,4,93600,19600,4,78400,13600,0,0,17900,2,35800,21300,0,0,46300,1,46300,3
최서영,a02057,패션,17,여,놀이동산,500,28,14000,16300,21,342300,13400,9,120600,15400,20,308000,3500,3,10500,22200,1,22200,46400,5,232000,23100,4,92400,17800,0,0,14700,0,0,25300,2,50600,73600,1,73600,0
안정호,a02058,영화관람,13,남,쇼핑,500,61,30500,43800,26,1138800,14400,2,28800,9900,12,118800,4200,6,25200,15600,2,31200,21900,4,87600,19800,0,0,45400,4,181600,13600,0,0,39900,2,79800,58900,1,58900,6
김준호,a02059,스포츠,16,여,카페,300,21,6300,8900,18,160200,28400,4,113600,14500,7,101500,3700,3,11100,17800,2,35600,14000,2,28000,19500,2,39000,19800,0,0,14600,2,29200,26600,1,26600,32200,1,32200,5
김은지,a02060,스포츠,16,여,도서,400,38,15200,29300,4,117200,18100,6,108600,12500,8,100000,3800,4,15200,15200,3,45600,30700,0,0,23400,5,117000,10600,4,42400,12700,1,12700,33900,1,33900,24000,1,24000,1
이병철,a02061,도서,18,여,뷰티,400,9,3600,13300,17,226100,22500,2,45000,9400,19,178600,3000,5,15000,20500,2,41000,28400,3,85200,22500,4,90000,45900,2,91800,21700,0,0,36000,2,72000,63500,1,63500,5
안중수,a02062,도서,15,남,뷰티,300,37,11100,44200,2,88400,14300,9,128700,18800,7,131600,2600,2,5200,17000,3,51000,40900,0,0,20600,0,0,45400,3,136200,17000,1,17000,47200,0,0,58400,1,58400,1
문민재,a02063,여행,8,남,카페,600,40,24000,31900,13,414700,23700,7,165900,10300,19,195700,4300,2,8600,19400,0,0,25900,5,129500,25700,0,0,22200,0,0,20300,0,0,34500,1,34500,18400,1,18400,4
김아름,a02064,게임,12,여,쇼핑,400,5,2000,32100,24,770400,14700,6,88200,11300,12,135600,2500,5,12500,16500,0,0,32400,1,32400,23300,5,116500,37600,5,188000,20000,0,0,46800,1,46800,64200,1,64200,7
정지훈,a02065,게임,10,여,야구,400,70,28000,18200,3,54600,22000,7,154000,13300,11,146300,4500,1,4500,17400,1,17400,17100,4,68400,28100,2,56200,20800,2,41600,18900,1,18900,46100,1,46100,56200,1,56200,6
윤춘자,a02066,스포츠,12,여,뷰티,600,70,42000,3000,4,12000,20900,2,41800,12600,2,25200,4600,0,0,20800,3,62400,18800,2,37600,27600,2,55200,42100,1,42100,11900,0,0,49800,0,0,32500,1,32500,0
안승현,a02067,도서,18,여,영화관람,500,6,3000,37500,25,937500,10400,3,31200,19500,11,214500,2500,5,12500,18900,0,0,27500,0,0,21800,2,43600,47800,0,0,18800,2,37600,36700,1,36700,70400,1,70400,1
박하은,a02068,쇼핑,15,여,영화관람,600,29,17400,4800,25,120000,21100,3,63300,14800,15,222000,3000,5,15000,18300,1,18300,27100,0,0,29200,4,116800,21500,0,0,12700,0,0,40900,0,0,41900,1,41900,5
류성진,a02069,도서,17,여,뷰티,600,18,10800,10700,22,235400,19700,7,137900,5300,5,26500,3500,0,0,23700,1,23700,10200,3,30600,24900,5,124500,31400,5,157000,23200,1,23200,24800,2,49600,42800,1,42800,5
김준영,a02070,쇼핑,12,남,배달,500,23,11500,33300,13,432900,25900,4,103600,11000,14,154000,3900,3,11700,16100,2,32200,19500,2,39000,21700,1,21700,20000,1,20000,16500,1,16500,41600,1,41600,28000,1,28000,7
박정남,a02071,게임,19,남,편의점,400,33,13200,20300,19,385700,13300,7,93100,17600,8,140800,2800,6,16800,16100,2,32200,46400,4,185600,23400,1,23400,48700,3,146100,9100,1,9100,22200,1,22200,38200,1,38200,2
이예지,a02072,영화관람,19,남,도서,300,8,2400,31400,22,690800,17000,8,136000,13000,5,65000,4100,3,12300,13900,3,41700,15100,2,30200,28400,2,56800,24300,1,24300,17100,0,0,47400,2,94800,17100,1,17100,7
권윤서,a02073,게임,17,여,쇼핑,600,38,22800,28700,23,660100,13200,2,26400,18300,13,237900,4800,4,19200,15600,2,31200,44700,2,89400,21000,5,105000,25300,1,25300,8800,1,8800,33200,2,66400,70300,1,70300,2
최광수,a02074,영화관람,9,여,넷플릭스,500,52,26000,11300,23,259900,19800,7,138600,8100,17,137700,3800,3,11400,20600,2,41200,12400,4,49600,29500,3,88500,48800,3,146400,12600,0,0,22300,2,44600,47400,1,47400,2
성정남,a02075,여행,13,여,야구,500,34,17000,22300,7,156100,21400,6,128400,17100,8,136800,4100,6,24600,14000,3,42000,21800,3,65400,20600,1,20600,36100,4,144400,22500,0,0,31000,1,31000,51400,1,51400,5
이수빈,a02076,영화관람,9,남,통신비,500,53,26500,44200,27,1193400,21000,5,105000,12400,6,74400,4000,2,8000,18600,2,37200,29000,4,116000,21800,2,43600,27800,5,139000,14500,0,0,47000,1,47000,33500,1,33500,0
김정훈,a02077,뷰티,11,여,카페,500,54,27000,7700,28,215600,10000,8,80000,13300,7,93100,2700,0,0,23200,1,23200,47600,2,95200,19100,1,19100,37000,1,37000,11600,1,11600,34400,0,0,68600,1,68600,4
강재현,a02078,게임,17,남,야구,700,19,13300,37500,30,1125000,25200,2,50400,17400,11,191400,3800,2,7600,22900,3,68700,23000,2,46000,27800,0,0,39300,0,0,19300,1,19300,26900,1,26900,59900,1,59900,7
고지훈,a02079,패션,18,남,영화관람,600,31,18600,39800,29,1154200,13800,3,41400,5900,10,59000,4500,2,9000,20500,2,41000,43200,3,129600,20600,0,0,25400,2,50800,21400,2,42800,36500,2,73000,68300,1,68300,1
김영호,a02080,패션,11,남,대중교통,500,20,10000,25900,24,621600,29400,5,147000,15000,7,105000,3300,5,16500,24500,1,24500,30600,5,153000,27300,2,54600,34500,4,138000,17000,2,34000,45500,1,45500,60200,1,60200,2
김정자,a02081,뷰티,19,남,통신비,500,29,14500,35000,6,210000,18100,2,36200,7900,5,39500,4200,2,8400,18800,1,18800,14300,0,0,27000,2,54000,38100,3,114300,23500,0,0,21000,2,42000,61600,1,61600,1
최서준,a02082,영화관람,10,여,통신비,400,44,17600,26000,29,754000,29600,3,88800,18500,17,314500,4300,0,0,22200,3,66600,12900,2,25800,27600,4,110400,47000,4,188000,13100,1,13100,25000,0,0,74600,1,74600,3
박명자,a02083,카페,11,남,배달,400,56,22400,8900,4,35600,20700,3,62100,16000,14,224000,4900,5,24500,15600,1,15600,30800,5,154000,23300,5,116500,43800,4,175200,8400,0,0,46500,2,93000,61500,1,61500,4
서정수,a02084,카페,16,남,영화관람,500,19,9500,35100,24,842400,22400,4,89600,16300,16,260800,3000,6,18000,20500,2,41000,40200,0,0,26400,0,0,44700,3,134100,15300,2,30600,20300,1,20300,11800,1,11800,6
이옥순,a02085,뷰티,9,남,영화관람,600,35,21000,3600,20,72000,18100,10,181000,9800,3,29400,3500,3,10500,17200,1,17200,42900,4,171600,26800,1,26800,27700,3,83100,12100,0,0,27300,1,27300,14200,1,14200,3
김지훈,a02086,게임,19,남,뷰티,600,21,12600,6200,9,55800,16700,2,33400,11400,11,125400,4800,4,19200,22800,1,22800,30500,3,91500,24000,3,72000,35200,3,105600,23700,2,47400,31100,0,0,26400,1,26400,5
김지훈,a02087,뷰티,17,남,넷플릭스,500,62,31000,6100,13,79300,22900,7,160300,16000,9,144000,3900,6,23400,14000,1,14000,47300,4,189200,26000,1,26000,43800,0,0,19400,2,38800,48000,2,96000,17300,1,17300,7
이예진,a02088,영화관람,15,남,대중교통,400,5,2000,9600,4,38400,20800,2,41600,15100,4,60400,2900,6,17400,13900,1,13900,22600,1,22600,19900,4,79600,37400,4,149600,24400,0,0,21800,0,0,21500,1,21500,5
권진우,a02089,영화관람,14,남,놀이동산,500,20,10000,10300,10,103000,27000,6,162000,8900,5,44500,4100,1,4100,23400,1,23400,33200,4,132800,27000,1,27000,48100,2,96200,21700,0,0,40600,2,81200,52800,1,52800,6
김수진,a02090,게임,16,여,카페,500,67,33500,35000,16,560000,20700,4,82800,9200,16,147200,4600,3,13800,20000,2,40000,35500,3,106500,23900,0,0,34100,1,34100,16400,2,32800,23300,0,0,48200,1,48200,1
서서영,a02091,스포츠,9,남,편의점,600,43,25800,8700,19,165300,29300,8,234400,13000,2,26000,4100,6,24600,22300,0,0,33400,3,100200,29600,2,59200,38600,0,0,23300,1,23300,31400,0,0,58700,1,58700,2
김서윤,a02092,카페,19,여,통신비,300,41,12300,4100,8,32800,22300,8,178400,14500,11,159500,3400,0,0,14500,1,14500,20000,3,60000,25400,3,76200,19000,5,95000,19900,1,19900,26300,2,52600,50600,1,50600,0
이은정,a02093,뷰티,17,남,도서,300,70,21000,43800,29,1270200,23100,7,161700,6700,16,107200,4800,2,9600,19500,2,39000,47200,2,94400,25100,5,125500,49900,5,249500,12400,0,0,32300,0,0,41200,1,41200,4
최현준,a02094,뷰티,17,여,넷플릭스,600,61,36600,22500,26,585000,18100,3,54300,16000,16,256000,3800,2,7600,18200,2,36400,45300,3,135900,23700,1,23700,27900,2,55800,11300,1,11300,48400,0,0,10800,1,10800,3
박유진,a02095,카페,11,여,뷰티,300,69,20700,23400,28,655200,22400,8,179200,6100,20,122000,3700,4,14800,21300,2,42600,44300,4,177200,18400,5,92000,40000,3,120000,14800,0,0,48100,2,96200,62300,1,62300,6
김민재,a02096,영화관람,10,여,뷰티,300,36,10800,18900,21,396900,29800,3,89400,5900,5,29500,3100,1,3100,17600,3,52800,10600,5,53000,26700,0,0,28500,3,85500,15600,2,31200,37500,1,37500,18700,1,18700,5
권준영,a02097,쇼핑,19,남,편의점,400,42,16800,32200,20,644000,29900,2,59800,7900,7,55300,2900,6,17400,14000,3,42000,25700,5,128500,23800,1,23800,20100,1,20100,22800,0,0,42900,0,0,10200,1,10200,0
박지후,a02098,스포츠,11,여,편의점,600,44,26400,15300,12,183600,28100,9,252900,8700,13,113100,4100,5,20500,15400,1,15400,35300,3,105900,21500,3,64500,11300,4,45200,11400,2,22800,29100,2,58200,31800,1,31800,7
김성수,a02099,스포츠,19,여,야구,400,39,15600,37000,21,777000,29000,2,58000,10100,10,101000,4100,0,0,15200,2,30400,41500,1,41500,18900,4,75600,18200,3,54600,23100,0,0,46100,2,92200,62700,1,62700,2
김지민,a02100,쇼핑,14,남,편의점,400,50,20000,19600,14,274400,26000,3,78000,16000,12,192000,3200,6,19200,16700,2,33400,49300,5,246500,29100,2,58200,16000,1,16000,9300,1,9300,35500,1,35500,43100,1,43100,6
윤수민,a02101,뷰티,18,남,놀이동산,700,62,43400,10500,21,220500,28900,3,86700,6100,9,54900,3400,4,13600,22100,0,0,23500,2,47000,29100,2,58200,23500,2,47000,17100,0,0,28300,0,0,59300,1,59300,1
김경희,a02102,게임,9,여,편의점,300,55,16500,39700,24,952800,17900,8,143200,7300,2,14600,3300,1,3300,18100,3,54300,21700,5,108500,18200,4,72800,48300,0,0,23200,1,23200,44400,2,88800,56200,1,56200,0
손예진,a02103,도서,19,남,배달,400,46,18400,4200,28,117600,10000,4,40000,10200,5,51000,4100,1,4100,22500,0,0,40400,1,40400,29100,3,87300,28700,1,28700,17500,1,17500,41700,2,83400,12700,1,12700,7
김민지,a02104,패션,19,남,넷플릭스,500,8,4000,44100,30,1323000,17900,2,35800,11900,9,107100,4100,3,12300,21200,2,42400,36500,5,182500,21600,2,43200,41300,1,41300,12700,2,25400,41300,0,0,44500,1,44500,3
김영길,a02105,뷰티,9,남,놀이동산,500,64,32000,31600,14,442400,28800,9,259200,17500,11,192500,4500,0,0,21200,3,63600,20000,1,20000,27700,5,138500,32700,1,32700,14300,1,14300,44300,1,44300,22000,1,22000,7
차진우,a02106,스포츠,15,여,편의점,700,44,30800,8700,17,147900,12700,9,114300,19400,10,194000,4400,2,8800,17000,0,0,24900,1,24900,28000,1,28000,14300,2,28600,15400,0,0,42000,1,42000,28200,1,28200,4
송현정,a02107,여행,19,여,쇼핑,300,60,18000,32800,19,623200,20400,2,40800,4700,11,51700,3000,5,15000,20300,3,60900,26900,3,80700,28700,0,0,10300,4,41200,24900,1,24900,32500,1,32500,68700,1,68700,4
김아름,a02108,쇼핑,15,남,뷰티,400,45,18000,4600,29,133400,23500,8,188000,11900,6,71400,4900,0,0,22800,0,0,24400,3,73200,25800,5,129000,18400,5,92000,9400,0,0,49600,1,49600,58000,1,58000,4
이상현,a02109,쇼핑,17,여,쇼핑,700,17,11900,38400,8,307200,12200,9,109800,18600,17,316200,2600,3,7800,13800,0,0,45200,2,90400,27100,5,135500,27300,4,109200,16900,1,16900,47300,2,94600,19000,1,19000,7
김영호,a02110,여행,13,여,도서,500,35,17500,26100,28,730800,25700,4,102800,9100,2,18200,2900,4,11600,19300,0,0,48600,0,0,25900,4,103600,46100,3,138300,20700,2,41400,23100,2,46200,11200,1,11200,1
이아름,a02111,쇼핑,10,여,영화관람,500,27,13500,31500,6,189000,22700,6,136200,19700,12,236400,3600,2,7200,15600,0,0,36200,5,181000,26000,3,78000,46900,3,140700,16900,0,0,44400,1,44400,46300,1,46300,5
곽우진,a02112,영화관람,17,여,뷰티,300,57,17100,21000,7,147000,29600,7,207200,16300,4,65200,3000,6,18000,24900,2,49800,38500,2,77000,20800,0,0,48900,1,48900,24100,0,0,31700,2,63400,14700,1,14700,1
이서현,a02113,스포츠,12,남,배달,500,54,27000,2900,30,87000,16700,10,167000,5200,20,104000,3600,2,7200,21400,2,42800,42600,1,42600,29000,5,145000,46400,3,139200,19500,0,0,39200,2,78400,68600,1,68600,0
최정호,a02114,영화관람,19,여,야구,600,65,39000,32100,28,898800,22900,10,229000,8200,20,164000,4300,3,12900,16600,1,16600,47200,5,236000,28500,5,142500,30100,0,0,23400,0,0,41000,0,0,20800,1,20800,6
김성진,a02115,쇼핑,9,남,배달,300,63,18900,16500,22,363000,17700,7,123900,4600,6,27600,3700,3,11100,20900,2,41800,38200,3,114600,23200,2,46400,14200,5,71000,8700,2,17400,24300,2,48600,40400,1,40400,3
한서연,a02116,뷰티,16,여,통신비,500,30,15000,19300,18,347400,26200,10,262000,19200,9,172800,2800,6,16800,21400,2,42800,21800,5,109000,20000,3,60000,33100,5,165500,12600,1,12600,30300,2,60600,50800,1,50800,7
강준혁,a02117,스포츠,9,남,야구,300,38,11400,7800,25,195000,24800,5,124000,9400,20,188000,3800,0,0,16500,2,33000,19800,0,0,22600,4,90400,39800,4,159200,15000,1,15000,26600,2,53200,37800,1,37800,2
김성호,a02118,게임,9,여,영화관람,600,5,3000,36600,19,695400,11200,3,33600,14500,3,43500,3900,0,0,18400,3,55200,14300,5,71500,27400,2,54800,34200,5,171000,18900,0,0,22500,1,22500,38800,1,38800,0
이미영,a02119,뷰티,16,여,통신비,400,62,24800,42200,4,168800,19500,8,156000,6200,16,99200,4900,3,14700,23000,2,46000,20800,5,104000,19200,4,76800,46200,2,92400,10800,1,10800,35000,0,0,37300,1,37300,6
김지영,a02120,패션,17,남,쇼핑,300,7,2100,23100,10,231000,17800,10,178000,18100,10,181000,2900,6,17400,17200,1,17200,18800,5,94000,28700,1,28700,22100,4,88400,12500,0,0,22000,2,44000,52600,1,52600,4
송현지,a02121,패션,19,남,뷰티,300,38,11400,44400,27,1198800,15800,4,63200,18700,13,243100,4000,2,8000,23400,0,0,24700,0,0,18300,4,73200,25700,3,77100,21500,1,21500,26500,2,53000,11700,1,11700,6
